V1,V2
ZBTB33,CTCF
ZBTB33,EGR1
ZBTB33,ZZZ3
ZBTB33,GATA1
ZBTB33,MXI1
ZBTB33,ATF3
ZBTB33,THAP1
ZBTB33,ATF4
ZBTB33,ATF2
ZBTB33,ATF1
ZBTB33,RXRB
ZBTB33,CLEC5A
ZBTB33,MAPK14
ZBTB33,MAPK1
ZBTB33,CDC5L
ZBTB33,ATF7
ZBTB33,ATF6
ZBTB33,ATF5
ZBTB33,ABL1
ZBTB33,CHAF1A
ZBTB33,EZH2
ZBTB33,FUBP1
ZBTB33,HSBP1
ZBTB33,IRX4
ZBTB33,MED1
ZBTB33,MLX
ZBTB33,NCOA4
ZBTB33,NCOR1
ZBTB33,PNN
ZBTB33,POLR1C
ZBTB33,POLR2E
ZBTB33,RBM39
ZBTB33,RUNX3
ZBTB33,SF1
ZBTB33,SUPT5H
ZBTB33,THAP7
ZBTB33,ASXL1
ZBTB33,XPC
ZBTB33,LRPPRC
ZBTB33,DHRS2
ZBTB33,POP7
ZBTB33,LAMC3
ZBTB33,CEACAM5
ZBTB33,DCTN2
ZBTB33,CES1
ZBTB33,CCT8
ZBTB33,RCC1
ZBTB33,HHLA3
ZBTB33,NUDT3
ZBTB33,MST1P2
ZBTB33,AKAP11
ZBTB33,PMF1
ZBTB33,CASC4
ZBTB33,TUBGCP5
ZBTB33,UHRF2
ZBTB33,SLC26A8
ZBTB33,LRG1
ZBTB33,SLC15A4
ZBTB33,LRRC28
ZBTB33,CYB5D1
ZBTB33,ZNF280A
ZBTB33,TMEM18
ZBTB33,TTC32
ZBTB33,MDH1B
ZBTB33,COX7B
ZBTB33,COX11
ZBTB33,TRIM50
ZBTB33,CRKL
ZBTB33,NANP
ZBTB33,ZNF280B
ZBTB33,UNC45B
ZBTB33,YDJC
ZBTB33,ZNF595
ZBTB33,DARS
ZBTB33,CCDC116
ZBTB33,ECHS1
ZBTB33,SCAMP5
ZBTB33,ZFC3H1
ZBTB33,EPB41L2
ZBTB33,ETFB
ZBTB33,FCER2
ZBTB33,SKA3
ZBTB33,C6orf89
ZBTB33,FGL1
ZBTB33,PUF60
ZBTB33,FASTKD2
ZBTB33,TNRC6B
ZBTB33,GGA3
ZBTB33,PPIP5K2
ZBTB33,SMG5
ZBTB33,RPL13A
ZBTB33,PRAME
ZBTB33,ZNF346
ZBTB33,SDF2L1
ZBTB33,PPIL2
ZBTB33,STXBP4
ZBTB33,ZNF718
ZBTB33,YIPF3
ZBTB33,NOL11
ZBTB33,RNF167
ZBTB33,GORASP2
ZBTB33,FGFR1OP2
ZBTB33,GAS8
ZBTB33,SNORA65
ZBTB33,RNU11
ZBTB33,SNX5
ZBTB33,LSM3
ZBTB33,GP1BA
ZBTB33,NEAT1
ZBTB33,FAM200B
ZBTB33,GRK4
ZBTB33,YPEL1
ZBTB33,GMPPA
ZBTB33,HNRNPH3
ZBTB33,HSPA4
ZBTB33,QRFP
ZBTB33,ACADSB
ZBTB33,IREB2
ZBTB33,ARF3
ZBTB33,MALAT1
ZBTB33,ZFP91-CNTF
ZBTB33,GLTPD2
ZBTB33,TSPYL6
ZBTB33,SP5
ZBTB33,LAMP1
ZBTB33,MDH2
ZBTB33,CEACAM6
ZBTB33,NDUFA7
ZBTB33,RPL10A
ZBTB33,NKTR
ZBTB33,PRDX1
ZBTB33,MRPS7
ZBTB33,DNAJC27
ZBTB33,ERGIC2
ZBTB33,ANKFY1
ZBTB33,SRRT
ZBTB33,LUC7L2
ZBTB33,STYXL1
ZBTB33,CDK12
ZBTB33,PFKFB2
ZBTB33,PFN1
ZBTB33,PI4KA
ZBTB33,NLE1
ZBTB33,RC3H2
ZBTB33,WDR74
ZBTB33,QRICH1
ZBTB33,DCAF16
ZBTB33,TIPIN
ZBTB33,BANP
ZBTB33,PPP2R5C
ZBTB33,YOD1
ZBTB33,NBPF1
ZBTB33,PRKCB
ZBTB33,DCAF6
ZBTB33,CAND1
ZBTB33,MAP2K2
ZBTB33,TEX15
ZBTB33,COQ9
ZBTB33,CIAPIN1
ZBTB33,PSMD5
ZBTB33,KIAA1191
ZBTB33,FAM135A
ZBTB33,PTPN4
ZBTB33,GRHL3
ZBTB33,CXCL16
ZBTB33,RFC5
ZBTB33,ACTB
ZBTB33,PPCDC
ZBTB33,NAA35
ZBTB33,BCR
ZBTB33,RPL7A
ZBTB33,RPL12
ZBTB33,RPL17
ZBTB33,RPL23A
ZBTB33,RPL26
ZBTB33,RPS2
ZBTB33,RPS6
ZBTB33,RPS7
ZBTB33,RPS11
ZBTB33,RPS15A
ZBTB33,RPS19
ZBTB33,RPS28
ZBTB33,THADA
ZBTB33,NSUN3
ZBTB33,GPATCH3
ZBTB33,TRAPPC2
ZBTB33,PBLD
ZBTB33,NCAPG
ZBTB33,TUBBP5
ZBTB33,IKZF5
ZBTB33,RBM15
ZBTB33,MARCH7
ZBTB33,SNORA78
ZBTB33,SNORD1C
ZBTB33,STX5
ZBTB33,MED22
ZBTB33,THY1
ZBTB33,UBE2D3
ZBTB33,UPK1B
ZBTB33,SNHG9
ZBTB33,WDR77
ZBTB33,TRIM48
ZBTB33,SLC39A7
ZBTB33,SPAG16
ZBTB33,NOL9
ZBTB33,NUP214
ZBTB33,COASY
ZBTB33,ZFP91
ZBTB33,ANKRD13C
ZBTB33,AIF1L
ZBTB33,THAP2
ZBTB33,GRWD1
ZBTB33,MAD1L1
ZBTB33,SLC25A11
ZBTB33,ZCCHC7
ZBTB33,SNHG3
ZBTB33,POLDIP3
ZBTB33,BTBD10
ZBTB33,TMEM79
ZBTB33,NAA38
ZBTB33,JPH4
ZBTB33,CNFN
ZBTB33,MAK16
ZBTB33,OFD1
ZBTB33,ZNF341
ZBTB33,TMEM209
ZBTB33,FIBCD1
ZBTB33,WDR73
ZBTB33,DENR
ZBTB33,NOP14
ZBTB33,ALDH4A1
ZBTB33,MBTPS1
ZBTB33,HERC1
ZBTB33,TOP3B
ZBTB33,RSPH1
ZBTB33,KBTBD6
ZBTB33,CEACAM21
ZBTB33,TM4SF5
ZBTB33,LRSAM1
ZBTB33,TMEM88
ZBTB33,SNAP29
ZBTB33,RAB36
ZBTB33,DZIP3
ZBTB33,BZW1
ZBTB33,CD79A
ZBTB33,EIF4A3
ZBTB33,SEPT7
ZBTB33,CDC20
ZNF263,TRIM28
ZNF263,EGR1
ZNF263,FOSL2
ZNF263,GABPA
ZNF263,MAX
ZNF263,MEF2C
ZNF263,MYC
ZNF263,SPI1
ZNF263,TFAP2A
ZNF263,SETDB1
ZNF263,TP53
ZNF263,ELK1
ZNF263,SMAD3
ZNF263,TGIF1
ZNF263,TFDP1
ZNF263,SMAD7
ZNF263,NR2F2
ZNF263,NR2F1
ZNF263,ETS2
ZNF263,CREB3L3
ZNF263,BPTF
ZNF263,ABL1
ZNF263,APBB2
ZNF263,APC
ZNF263,ARID1B
ZNF263,ATM
ZNF263,DBP
ZNF263,DENND4A
ZNF263,ECD
ZNF263,EMX2
ZNF263,ETV3
ZNF263,HDGF
ZNF263,HEXIM1
ZNF263,HIVEP2
ZNF263,HMGA2
ZNF263,KHSRP
ZNF263,KLF9
ZNF263,LHX2
ZNF263,LZTR1
ZNF263,MAML3
ZNF263,MATR3
