GSM1045191	GSM1045192	GSM1045193	GSM1045194	GSM1045195	GSM1045196	GSM1045197	GSM1045198	GSM1045199	GSM1045200	GSM1045201	GSM1045202	GSM1045203	GSM1045204	GSM1045205	GSM1045206	GSM1045207	GSM1045208	GSM1045209	GSM1045210	GSM1045211	GSM1045212	GSM1045213	GSM1045214	GSM1045215	GSM1045216	GSM1045217	GSM1045218	GSM1045219	GSM1045220	GSM1045221	GSM1045222	GSM1045223	GSM1045224	GSM1045225	GSM1045226	GSM1045227	GSM1045228	GSM1045229	GSM1045230	GSM1045231	GSM1045232	GSM1045233	GSM1045234	GSM1045235	GSM1045236	GSM1045237	GSM1045238	GSM1045239	GSM1045240	GSM1045241	GSM1045242	GSM1045243	GSM1045244	GSM1045245	GSM1045246	GSM1045247	GSM1045248	GSM1045249	GSM1045250	GSM1045251	GSM1045252	GSM1045253	GSM1045254	GSM1045255	GSM1045256	GSM1045257	GSM1045258	GSM1045259	GSM1045260	GSM1045261	GSM1045262	GSM1045263	GSM1045264	GSM1045265	GSM1045266	GSM1045267	GSM1045268	GSM1045269	GSM1045270	GSM1045271	GSM1045272	GSM1045273	GSM1045274	GSM1045275	GSM1045276	GSM1045277	GSM1045278	GSM1045279	GSM1045280	GSM1045281	GSM1045282	GSM1045283	GSM1045284	GSM1045285	GSM1045286	GSM1045287	GSM1045288	GSM1045289	GSM1045290	GSM1045291	GSM1045292	GSM1045293	GSM1045294	GSM1045295	GSM1045296	GSM1045297	GSM1045298	GSM1045299	GSM1045300	GSM1045301	GSM1045302	GSM1045303	GSM1045304	GSM1045305	GSM1045306	GSM1045307	GSM1045308	GSM1045309	GSM1045310	GSM1045311
Lable	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CBLN2	-0.404660599320963	-0.412412676488314	-0.412412676488314	0.401256020915507	-0.412412676488314	-0.412412676488314	-0.355996321429638	-0.229886191523433	-0.378508138619613	-0.405294771026118	-0.412412676488314	-0.412412676488314	-0.372006430088444	-0.408238313889979	-0.412412676488314	-0.412412676488314	-0.308836794242587	3.85339476898649	-0.412412676488314	3.78511712021742	1.2068713550541	-0.412412676488314	-0.412412676488314	-0.412412676488314	-0.116604997429017	-0.412412676488314	-0.412412676488314	-0.412412676488314	-0.412412676488314	-0.412387054821624	-0.412412676488314	-0.412412676488314	-0.364064071068322	0.372413328717827	-0.412412676488314	-0.412412676488314	-0.412412676488314	-0.412412676488314	-0.412412676488314	-0.412412676488314	-0.412412676488314	-0.12720684104142	-0.412412676488314	0.407330222160408	-0.412412676488314	-0.328118739507908	-0.412412676488314	2.67525037536968	-0.321775140396428	-0.412412676488314	0.984797393341536	-0.341185014320905	-0.412412676488314	-0.412412676488314	-0.412412676488314	-0.304515065956058	-0.412412676488314	-0.412412676488314	-0.412412676488314	-0.412412676488314	-0.412412676488314	-0.412412676488314	-0.412412676488314	-0.412412676488314	-0.0248612389422836	-0.412412676488314	-0.412412676488314	-0.385285036970637	-0.391379521069769	-0.393444776455479	-0.412412676488314	-0.412412676488314	0.561057181958174	-0.406991925208815	-0.412412676488314	-0.412412676488314	-0.412412676488314	-0.412412676488314	-0.189969721981449	-0.412412676488314	-0.144388756035818	-0.412412676488314	-0.362611547385911	-0.412412676488314	-0.412412676488314	-0.412412676488314	-0.219731782658045	-0.412412676488314	-0.412412676488314	1.74372367968026	-0.412412676488314	-0.377313265608328	-0.412412676488314	-0.412412676488314	-0.412412676488314	2.69520442847584	-0.367577147529174	3.87516545007265	-0.408938632854327	-0.412412676488314	-0.412412676488314	-0.412412676488314	-0.379722255990335	-0.407548810978853	1.96910215046936	-0.412412676488314	-0.412412676488314	-0.412412676488314	3.08811424037719	1.97843089099782	-0.0993120934448781	-0.292125601026155	-0.412412676488314	2.89681425363957	-0.412412676488314	-0.412412676488314	0.126110303187904	0.895195917964465	3.5399121221267	0.0236838403133052	0.995603556001832
CNN1	1.60487613072847	-0.66046929018419	-0.238415813706645	1.36404518580097	1.1545581272044	0.702846300926438	0.888403758804697	-1.30947670005114	0.224808850848654	2.4439941749584	3.27580080226555	1.97320567337599	-0.188523774369495	1.51769060904718	-0.321850674510324	-1.33065241509945	-1.2784373566948	-0.690772052851666	-0.0853424825356737	-0.870422497224393	0.879422672369086	0.838799934050612	1.66803895493496	-1.33065241509945	0.635416316663607	0.969377657716525	-1.33065241509945	-0.762489734493858	-0.76130417783722	0.342025456712503	-1.05029970330555	0.0249422314680669	0.526390919029054	-0.102647368265123	-0.979002989056972	-0.369228634745191	-0.322989498946266	-0.710620986654466	0.96133630318114	-0.783703656069204	-0.793548537750394	-0.232098103236728	0.621297585889213	-0.238415813706645	0.191877268409245	1.71523004285395	0.649633669190458	0.225659175215416	0.910156580054317	-0.305233281767639	-0.284214889896664	-0.238415813706645	1.6858615949214	-0.516746118007535	0.153323288861707	1.4103079921993	-0.930204441966038	-0.783520051376117	-0.151416855874808	-1.33065241509945	-1.32176884471002	0.17049466784979	1.00794034856789	-0.238415813706645	-0.238415813706645	0.185089636306164	-1.59059905324003	0.219606894354809	-0.238415813706645	-0.100839855803883	-0.0873908241882681	-0.253452852548733	-0.238415813706645	-1.30998674176377	0.07553961241916	-1.42823458534005	0.360679365088586	-0.0303617619378694	-0.266514554636098	-0.563480755172175	-0.238415813706645	-0.348347555507858	-0.335754674650525	-1.33065241509945	-0.27944478727464	-0.238415813706645	-0.165648462378607	0.122391982112567	0.527154136544562	2.43716852105459	-1.23253658204285	-1.13934202578594	1.21679520302708	-0.20079749324196	-0.238415813706645	-1.03676625176681	3.78539813410916	-0.374262862402211	1.5620138210219	-0.180063528622791	-0.238415813706645	0.657591507105528	-0.238415813706645	0.138960280966147	1.13260634864932	-0.410980596150837	-1.33065241509945	-1.82653118108188	-1.11418192246718	-0.238415813706645	-0.238415813706645	-0.832303481844757	-0.238415813706645	-0.182039849111398	-0.595004921122635	-0.238415813706645	1.6338006088646	-0.238415813706645	0.29519997220982	-0.738814015780909	0.139238903922882
COMP	-1.28410874279382	-1.35785207066837	-1.86542176616388	-1.87308485074453	-1.57165899659136	-0.328344283141514	-1.46515848600532	-1.19763324801011	-1.46515848600532	-1.46515848600532	-1.46515848600532	-1.43725778648099	-1.46515848600532	-0.855900524778124	-1.46515848600532	-1.43725778648099	-1.1648699766583	0.198673450648394	1.60074881488416	-0.0962982660849854	1.01323979268234	0.341819322318767	-0.856006797800172	-1.86542176616388	1.25291953753415	-1.32501592170405	0.369221432058683	-1.43725778648099	-1.42166397385947	0.131536777701679	0.23031751983701	-0.319519160294384	-0.177482299806003	0.972088264774728	-0.824492596211406	1.32449659117769	1.03088149848949	0.411723408568676	0.120933770496859	0.295115626699664	1.04183115049772	0.283960359456451	1.34007685245369	0.413409093911608	0.58856240936799	1.01014194124623	-0.382422979280811	0.590215788487902	1.61133623919593	0.163971624461206	-0.0655771728062167	1.11054937212225	-1.04791932727915	0.116384355720202	1.72059754578077	1.66355517499457	0.275196056987195	-1.46515848600532	0.136829707480902	-1.46515848600532	1.79061973050627	1.28280574280436	0.241890613615672	1.10768210733409	0.565763257686979	0.600228077535989	-0.561335108779917	-0.245649459543466	-0.138690854379467	-0.49002052322924	-1.14870002638908	-0.816342439797445	1.09770763554344	-0.14374362153438	0.371566233608542	-1.77150990196426	0.186878861397013	1.86418528042598	1.07203636598423	-0.915096383973877	0.768311847649238	0.392536855375151	0.132944558422468	0.279706658586407	0.546688886548548	1.53620187563118	0.229789769496243	0.0833719713920307	-0.465005263456084	0.740030489213388	-1.17155420438204	-0.350870683405401	0.965487816686341	0.00277428569196118	-1.43725778648099	1.8833665843777	-0.833365133069516	-0.704803170500202	-0.541875827255035	0.451199053811945	0.528470775298789	0.828237875503658	0.185915874158389	1.61376819459692	0.982177864364405	0.94728522138091	0.392863541147424	-0.408481828402909	0.0182927833056277	-1.19732102500945	-0.268401533803988	-0.447098996138681	0.472708835829044	0.672937733707308	-0.38241698436871	0.557723141430603	0.814088006072554	0.49897306517301	0.35121247509206	0.308222470536268	1.62629082723122
CST4	-0.286120899298668	-1.07988163929817	-0.546069352861809	-0.638149796162805	-0.590771475357118	-0.546069352861809	-0.772538340980452	-0.503951840030866	-0.547908132677321	-0.286120899298668	-0.412572397192336	-0.323857755827095	-1.07988163929817	-0.286120899298668	-0.818278142704662	0.875981279331976	-0.286120899298668	1.95930384748273	0.706390524536452	2.68744318066132	-0.0599656658498997	-0.843450865748927	-0.283530184354628	-1.07988163929817	-0.126947445228277	-0.286120899298668	-0.546069352861809	-0.829759882874481	-1.07988163929817	-0.286101923787012	-0.546069352861809	-0.12962089899807	1.08364175882056	0.692996794120054	-0.546069352861809	-0.111060643703769	1.56201202510706	-0.0528374163233161	1.22182263685657	-0.0625728452021765	-0.280016279297016	1.18812918513985	1.73318128295076	-0.854465970698415	1.14089030098317	0.26111373581629	-0.0231983003261481	-0.538092170812144	0.0292803512725528	0.208703560694183	-0.286120899298668	-0.917981538972549	-0.854465970698415	1.93465919238161	-1.05560016800504	-0.323838060157062	0.0622208084151558	-0.546069352861809	-0.280839514830261	-0.854465970698415	1.08595243233568	-0.286120899298668	0.802903350791223	0.568760551591894	-0.0548034893298569	0.968480559940064	-0.546069352861809	-0.0165461671600955	0.777460601433933	2.15786207419024	-1.06025953126978	-0.075199879133508	0.32801296444177	1.81817636206198	2.04356886651238	-1.00134457948259	-0.854465970698415	0.124332006424398	0.72591258158536	-0.689924854917903	-0.854465970698415	0.291568265784073	0.726554928833915	-0.641751272289974	-0.823603770603823	-0.546069352861809	0.505559949592672	-0.0622426072222709	-0.546069352861809	1.5035739353562	-0.330781672227985	-0.286120899298668	-1.22495279043076	-0.546069352861809	0.202841618943956	4.61761376969243	-0.854465970698415	-0.546069352861809	-1.18190400129849	-0.842170428881064	0.143783590022107	2.22446044956579	2.33957923754452	-2.06728580010708	-0.691704760368506	-0.854465970698415	-0.523429037450515	-0.854465970698415	-1.07988163929817	-0.0988861971789792	0.191900053316761	-0.731688755809668	-0.854465970698415	-0.0887674795982392	1.92704973529611	-0.104204994914642	0.450108342452565	0.199211374285318	-0.539612411913554	0.429952849406192	0.546887259666713
CTCF	-0.120221984839398	-1.94554440343255	0.428551196553315	-2.06777805988904	0.328446073194041	-0.576245147065938	-0.894337502590855	-0.39217810311609	-0.134509897753604	-1.32730119946395	-0.960839159338333	-0.295958064648253	-1.46061591862518	0.565984932902827	-0.378366469254256	-1.03986813973966	-1.12687017148878	-0.8865894276591	-0.0747312624436734	-1.01759402098889	-2.93644330122994	0.492876496671014	0.0914067236855237	1.35223607953248	1.29641075864879	0.768163047346156	-1.39508302298822	-0.17904580841805	0.492975290692392	1.22116685867695	-1.69982574671232	0.348915690590383	0.663429666518341	-0.702820274513413	0.955807732903554	-0.250672818850292	0.209135218617094	-0.38000400222929	0.616588401089497	1.11737953888824	0.95152728915353	0.789374666537336	-0.0901320461431524	0.0538236560854957	2.31670554541639	0.172189716964955	1.06307410891563	0.478166095166089	0.806099822234321	-0.593570522653339	0.251149974689031	0.0343323453823015	-1.13143178230635	-0.624615266183767	0.373247922135242	1.11415727021782	1.37604859927915	-1.06704946733402	1.63179017466147	0.429244332413956	-0.624890956956072	-0.23283768914889	1.21044072921938	0.64057700372961	-1.6536198694729	0.0027329252190414	-0.043839312033466	0.64197862149233	-0.0790473193554801	0.38059057361921	0.881041386222808	0.378655868862409	-0.553043141127372	-1.42035123201597	0.30890640004475	0.900523873814313	-0.233004450615371	1.20009325040225	0.577153673232413	-0.180638120574797	0.672853822301803	1.00952122812386	1.07932750833178	-0.0653697357520224	1.51307958135752	-0.675182000430347	-0.124892421506328	-1.08093187748382	0.0560354655195443	0.32367915648187	0.0465140830800597	-1.19997958538413	0.461027087768448	0.269528424952599	-1.03676222510028	-0.11010796069513	0.983676192435373	-2.87822952935387	0.766008364844568	0.206674442938411	0.23095354441868	1.71723020182354	0.858103225291975	0.60073442809505	0.193043921678213	1.00264207192246	0.213741651945579	0.848546757318651	-0.331407211733769	0.107688468447204	-2.00317785354385	-3.02239863122078	-0.460288554358527	0.918660065260346	-1.42682635108614	-0.793021126526493	0.97277454737061	0.0474569386932131	-0.923672631582623	1.83308585896087	0.0580762079741365
CXCL2	1.29028548962395	0.43725326515046	-0.524829566472978	1.62853268970189	1.3694966533036	1.56623237694848	1.83032768256824	1.91027534051891	0.930023967452783	-0.246445191041688	2.0401246929714	2.17798131844314	0.239161851558062	0.942600422966276	1.51600270355701	2.37790433724003	1.36968890507421	-0.491798109799669	-0.761530013810099	-0.504942538995068	-0.793457748703777	0.340131666260347	-0.103535097622432	-0.524829566472978	0.80046838876657	1.92658915824745	0.200543673118603	1.22095858428275	0.820661611245915	-0.254213651020729	-0.532936542581004	-0.692099046811051	0.11929697348125	-0.793457748703777	-0.504115741311385	-0.825087838533283	-0.303038005058636	-1.20558150456673	0.591856965284765	-0.402188506808043	-0.521502193992916	-0.825087838533283	-0.741057989210452	-0.227949505519554	-0.524829566472978	-0.115683075758965	-0.290523182781258	-1.21852828438829	-0.303038005058636	0.178121784509084	-0.619146245523767	-1.02753310016842	0.714144450588564	-0.899724298506237	-0.793457748703777	0.12604234132718	-0.825087838533283	4.33535582346667	-0.558185452002612	1.15435339543485	-0.800035841607274	1.56588949150179	-1.15513036104801	-1.07379021342685	-0.48968484513099	-0.547438732626445	-0.800538390772742	-0.303573376954344	-0.303038005058636	-0.524829566472978	-0.260452435382422	-0.058732134142186	-0.539170050560126	0.230018680738114	0.684480290386482	-0.398988945081714	-0.479301443748194	0.0208231182334598	1.03036164751778	0.0202105192294709	-0.691512975423556	-1.11451860929866	-0.921688181463361	-1.11141117048903	2.59903861759942	-1.20558150456673	-0.793457748703777	-0.524829566472978	0.507685306313157	1.35077729717099	-0.78106189165557	-0.825087838533283	0.736322083768691	-0.303038005058636	-0.303038005058636	-0.793457748703777	-0.303038005058636	-0.515694525796615	1.5027492695287	1.34814229524255	-0.793457748703777	0.337046738065682	-0.793457748703777	0.690161367201302	-0.618367360451217	0.311546398504793	-0.708198045425151	-0.107960517203133	-0.514459145851197	-0.786902965396665	-1.20558150456673	-0.735359214777902	-0.293941003780477	0.0086741177828751	-1.20558150456673	-0.793457748703777	0.886457065858754	-0.672636762158651	-0.793457748703777	-0.781402931920944	-0.303038005058636
DACT2	4.87089019230476	-0.297800631647295	4.17691273854557	-0.297800631647295	1.84564553986502	-0.297800631647295	-0.297800631647295	-0.297800631647295	-0.297800631647295	-0.297800631647295	-0.297800631647295	1.38722346237723	-0.297800631647295	0.57440002257797	-0.297800631647295	1.03898609691427	1.44160033044336	-0.297800631647295	-0.297800631647295	-0.297800631647295	-0.297800631647295	-0.297800631647295	0.0804801044465906	-0.297800631647295	-0.297800631647295	-0.297800631647295	-0.297800631647295	-0.297800631647295	-0.297800631647295	-0.297800631647295	-0.280601371036678	-0.297800631647295	-0.297800631647295	-0.297800631647295	-0.297800631647295	-0.297800631647295	-0.297800631647295	-0.297800631647295	-0.297800631647295	-0.297800631647295	-0.297800631647295	0.349598273682648	-0.297800631647295	-0.297800631647295	-0.297800631647295	-0.297800631647295	-0.297800631647295	-0.297800631647295	-0.297800631647295	-0.297800631647295	-0.297800631647295	4.559524780788	-0.297800631647295	-0.269737867839865	-0.254184233463001	-0.297800631647295	-0.297800631647295	-0.297800631647295	-0.297800631647295	-0.297800631647295	-0.297800631647295	-0.297800631647295	-0.297800631647295	-0.297800631647295	-0.297800631647295	-0.297800631647295	-0.297800631647295	-0.0436386258773404	-0.297800631647295	2.90530663343636	-0.297800631647295	-0.297800631647295	-0.297800631647295	-0.297800631647295	-0.297800631647295	-0.297800631647295	-0.297800631647295	-0.297800631647295	-0.297800631647295	-0.297800631647295	-0.297800631647295	-0.297800631647295	-0.297800631647295	-0.297800631647295	-0.297800631647295	-0.297800631647295	-0.297800631647295	-0.297800631647295	-0.297800631647295	-0.256822577052442	1.99510901946444	-0.297800631647295	-0.297800631647295	-0.297800631647295	-0.297800631647295	-0.297800631647295	-0.297800631647295	-0.297800631647295	-0.297800631647295	-0.297800631647295	-0.297800631647295	-0.297800631647295	-0.297800631647295	5.16711391563288	-0.297800631647295	-0.297800631647295	-0.297800631647295	-0.297800631647295	-0.297800631647295	-0.297800631647295	-0.297800631647295	-0.297800631647295	0.852100140249814	-0.297800631647295	-0.297800631647295	-0.0620427790828346	-0.297800631647295	-0.297800631647295	-0.297800631647295	-0.297800631647295	-0.297800631647295
DLK1	-0.420911168185895	0.013409339657545	-0.420911168185895	-0.420911168185895	-0.420911168185895	-0.420911168185895	-0.0028938028674081	-0.327704226503834	0.265802863950814	3.92516382120562	3.3920485841546	2.11469045106978	0.793230274881799	-0.420911168185895	-0.420911168185895	-0.420911168185895	-0.420911168185895	-0.420911168185895	-0.420911168185895	-0.420911168185895	1.08267688404256	-0.420911168185895	1.96489762128105	-0.420911168185895	-0.420911168185895	0.53266758918623	-0.420911168185895	-0.420911168185895	-0.420911168185895	-0.420911168185895	-0.420911168185895	-0.420911168185895	1.26013615437707	-0.420911168185895	-0.420911168185895	-0.420911168185895	3.87932475944012	-0.420911168185895	3.16480876325889	-0.420911168185895	-0.420911168185895	-0.420911168185895	-0.420911168185895	-0.420911168185895	-0.420911168185895	0.425973571611277	1.30640256702342	-0.420911168185895	-0.340264370761506	-0.4023661585548	-0.420911168185895	-0.420911168185895	-0.0312951416110515	-0.420911168185895	-0.420911168185895	-0.249848523027556	-0.420911168185895	-0.420911168185895	-0.420911168185895	3.11722603037645	-0.369983874115421	-0.420911168185895	-0.420911168185895	-0.420911168185895	-0.420911168185895	-0.420911168185895	-0.420911168185895	2.494673291087	-0.420911168185895	-0.420911168185895	-0.420911168185895	-0.420911168185895	-0.420911168185895	-0.420911168185895	-0.420911168185895	-0.420911168185895	-0.420911168185895	-0.420911168185895	1.45575526535641	-0.420911168185895	-0.420911168185895	-0.420911168185895	-0.420911168185895	-0.420911168185895	-0.420911168185895	-0.420911168185895	-0.420911168185895	-0.420911168185895	-0.420911168185895	2.16994790877709	-0.420911168185895	-0.420911168185895	-0.420911168185895	-0.420911168185895	-0.420911168185895	-0.420911168185895	-0.420911168185895	-0.420911168185895	0.268353663139127	-0.420911168185895	-0.420911168185895	-0.420911168185895	-0.420911168185895	2.03543874932376	-0.420911168185895	-0.420911168185895	-0.420911168185895	-0.37497225487607	-0.420911168185895	-0.420911168185895	-0.351968376830822	-0.420911168185895	-0.413935481960476	-0.420911168185895	-0.420911168185895	3.12726567995069	0.730829200857673	0.38469197745876	-0.420911168185895	-0.420911168185895	-0.420911168185895
DLK2	-0.334964090428686	0.542530634246636	-0.316455393827199	3.96102686155137	-0.316455393827199	-0.316455393827199	-0.338952474888521	-0.316455393827199	-0.323755966852628	-0.316455393827199	-0.316455393827199	-0.338952474888521	-0.316455393827199	-0.338952474888521	-0.338952474888521	-0.316455393827199	-0.338952474888521	-0.316455393827199	2.20716613094253	-0.316455393827199	1.46247143499772	-0.316455393827199	3.70497321222417	-0.316455393827199	-0.316455393827199	-0.316455393827199	0.214066976706528	-0.316455393827199	-0.316455393827199	-0.316455393827199	-0.316455393827199	-0.316455393827199	-0.316455393827199	-0.194381546955406	-0.306221164763034	-0.30437707700341	-0.316455393827199	1.04544234554459	-0.0786755433610939	-0.338952474888521	-0.397333962610235	0.87962630786764	-0.316455393827199	-0.316455393827199	-0.323755966852628	0.0809312394937547	-0.316455393827199	-0.316455393827199	0.341112615087705	-0.316455393827199	-0.316455393827199	0.0448977443262608	-0.316455393827199	-0.25878441310366	-0.323755966852628	-0.316455393827199	-0.233896540262279	3.69044801288411	-0.316455393827199	-0.244855822097529	-0.316455393827199	-0.296837713600416	-0.316455393827199	-0.316455393827199	2.63368944805557	-0.316455393827199	-0.316455393827199	-0.316455393827199	-0.316455393827199	-0.316455393827199	-0.310799037001877	-0.399246831203954	-0.316455393827199	-0.316455393827199	-0.316455393827199	-0.316455393827199	-0.316455393827199	-0.316455393827199	-0.248842280381792	-0.316455393827199	-0.316455393827199	-0.316455393827199	-0.316455393827199	-0.338952474888521	-0.316455393827199	-0.316455393827199	-0.316455393827199	-0.316455393827199	-0.316455393827199	0.352999145253625	-0.316455393827199	-0.256124135512846	-0.399246831203954	-0.316455393827199	-0.316455393827199	-0.316455393827199	0.835615817171588	4.19093203292096	-0.316455393827199	-0.399246831203954	-0.316455393827199	-0.316455393827199	-0.316455393827199	5.61944972947056	-0.316455393827199	-0.316455393827199	-0.338952474888521	-0.323755966852628	-0.316455393827199	-0.316455393827199	-0.316455393827199	-0.316455393827199	-0.316455393827199	-0.316455393827199	-0.316455393827199	-0.316455393827199	-0.316455393827199	-0.338952474888521	0.619749416568682	-0.316455393827199	-0.316455393827199
