"V2","V4"
"ZBTB33","WASH8P"
"ZBTB33","CHAF1A"
"ZBTB33","MTRNR2L1"
"ZBTB33","MTRNR2L2"
"ZBTB33","MTRNR2L8"
"ZBTB33","LRPPRC"
"ZBTB33","DHRS2"
"ZBTB33","POP7"
"ZBTB33","LAMC3"
"ZBTB33","CEACAM5"
"ZBTB33","DCTN2"
"ZBTB33","CES1"
"ZBTB33","CCT8"
"ZBTB33","SRSF10"
"ZBTB33","RCC1"
"ZBTB33","HHLA3"
"ZBTB33","NUDT3"
"ZBTB33","MST1P2"
"ZBTB33","AKAP11"
"ZBTB33","PMF1"
"ZBTB33","CASC4"
"ZBTB33","TUBGCP5"
"ZBTB33","C1QTNF5"
"ZBTB33","UHRF2"
"ZBTB33","SLC26A8"
"ZBTB33","LRG1"
"ZBTB33","CFAP70"
"ZBTB33","SLC15A4"
"ZBTB33","LRRC28"
"ZBTB33","CYB5D1"
"ZBTB33","SLX4IP"
"ZBTB33","ZNF280A"
"ZBTB33","TMEM18"
"ZBTB33","TTC32"
"ZBTB33","MDH1B"
"ZBTB33","COX7B"
"ZBTB33","COX11"
"ZBTB33","TRIM50"
"ZBTB33","SSMEM1"
"ZBTB33","ATF2"
"ZBTB33","CRKL"
"ZBTB33","NANP"
"ZBTB33","RIPOR3"
"ZBTB33","ZNF280B"
"ZBTB33","MAPK14"
"ZBTB33","UNC45B"
"ZBTB33","YDJC"
"ZBTB33","ZNF595"
"ZBTB33","DARS"
"ZBTB33","CCDC116"
"ZBTB33","ASXL1"
"ZBTB33","ECHS1"
"ZBTB33","SCAMP5"
"ZBTB33","EGR1"
"ZBTB33","ZFC3H1"
"ZBTB33","DHFR2"
"ZBTB33","EPB41L2"
"ZBTB33","ETFB"
"ZBTB33","EZH2"
"ZBTB33","FCER2"
"ZBTB33","SKA3"
"ZBTB33","C6orf89"
"ZBTB33","FGL1"
"ZBTB33","PUF60"
"ZBTB33","FASTKD2"
"ZBTB33","TNRC6B"
"ZBTB33","GGA3"
"ZBTB33","PPIP5K2"
"ZBTB33","SMG5"
"ZBTB33","MAU2"
"ZBTB33","RPL13A"
"ZBTB33","PRAME"
"ZBTB33","ZNF346"
"ZBTB33","SDF2L1"
"ZBTB33","PPIL2"
"ZBTB33","ABL1"
"ZBTB33","STXBP4"
"ZBTB33","CUTALP"
"ZBTB33","MMS22L"
"ZBTB33","ZNF718"
"ZBTB33","YIPF3"
"ZBTB33","NOL11"
"ZBTB33","RNF167"
"ZBTB33","GORASP2"
"ZBTB33","ZZZ3"
"ZBTB33","FGFR1OP2"
"ZBTB33","GAS8"
"ZBTB33","FBXW4P1"
"ZBTB33","RNU12"
"ZBTB33","SNORA65"
"ZBTB33","SNORD35A"
"ZBTB33","SNORD34"
"ZBTB33","SNORD33"
"ZBTB33","SNORD32A"
"ZBTB33","RNU11"
"ZBTB33","SNX5"
"ZBTB33","RSPH14"
"ZBTB33","LSM3"
"ZBTB33","GP1BA"
"ZBTB33","GP1BB"
"ZBTB33","NEAT1"
"ZBTB33","FAM200B"
"ZBTB33","GRK4"
"ZBTB33","YPEL1"
"ZBTB33","GMPPA"
"ZBTB33","HNRNPH3"
"ZBTB33","HSBP1"
"ZBTB33","HSPA4"
"ZBTB33","QRFP"
"ZBTB33","ACADSB"
"ZBTB33","IREB2"
"ZBTB33","ERCC6L2"
"ZBTB33","ARF3"
