_MEMBER_CNet-SVM,_MEMBER_L2SCAD-SVM,_MEMBER_SCAD-SVM,_MEMBER_SGLasso-SVM,_MEMBER_SVM-RFE,_MEMBER_mRMR-SVM,_LogP_CNet-SVM,_LogP_L2SCAD-SVM,_LogP_SCAD-SVM,_LogP_SGLasso-SVM,_LogP_SVM-RFE,_LogP_mRMR-SVM,GO,Description,_PATTERN_,_RANK_,CHILD_GO_CNet-SVM,CHILD_GO_L2SCAD-SVM,CHILD_GO_SCAD-SVM,CHILD_GO_SGLasso-SVM,CHILD_GO_SVM-RFE,CHILD_GO_mRMR-SVM
1,1,1,1,1,1,-7.772969967912856,-4.05485654266832,-4.399964596824871,-2.631895932200976,-4.353150317767867,-6.326274301969541,GO:0032502,developmental process,M111111,6,GO:0072080 nephron tubule development,GO:0001649 osteoblast differentiation,GO:0030324 lung development,GO:0001822 kidney development,GO:0048844 artery morphogenesis,GO:0048863 stem cell differentiation
1,1,1,0,1,1,-7.415379758465287,-2.460280660753204,-4.717110145596589,0.0,-5.137898245864073,-7.866295928777082,GO:0050896,response to stimulus,M111011,5,GO:0070848 response to growth factor,GO:0071363 cellular response to growth factor stimulus,GO:0009314 response to radiation,,GO:0046683 response to organophosphorus,GO:0071363 cellular response to growth factor stimulus
1,1,1,0,1,1,-5.0923133884052625,-3.1287955211912024,-2.882987353960326,0.0,-5.09328240058459,-3.8274193650269237,GO:0032501,multicellular organismal process,M111011,5,GO:0030278 regulation of ossification,GO:0001503 ossification,GO:0007610 behavior,,GO:0003012 muscle system process,GO:0001503 ossification
1,1,0,1,1,1,-5.05107085435269,-3.395704647504952,0.0,-5.590640280620327,-3.1243035397968564,-8.310923645601525,GO:0023052,signaling,M110111,5,GO:0045746 negative regulation of Notch signaling pathway,GO:0070374 positive regulation of ERK1 and ERK2 cascade,,GO:0071173 spindle assembly checkpoint signaling,GO:0000165 MAPK cascade,GO:0007167 enzyme-linked receptor protein signaling pathway
1,0,0,0,0,1,-4.431540782360718,0.0,0.0,0.0,0.0,-2.6804760658375093,GO:0002376,immune system process,M100001,2,GO:0030097 hemopoiesis,,,,,GO:0030098 lymphocyte differentiation
1,0,0,1,0,1,-4.345365378191969,0.0,0.0,-2.336417459159652,0.0,-4.114634164451214,GO:0048518,positive regulation of biological process,M100101,3,"GO:2000144 positive regulation of DNA-templated transcription, initiation",,,GO:0001934 positive regulation of protein phosphorylation,,GO:0001934 positive regulation of protein phosphorylation
1,0,0,0,0,1,-4.142129981438692,0.0,0.0,0.0,0.0,-8.371602039756386,GO:0008152,metabolic process,M100001,2,"GO:2000142 regulation of DNA-templated transcription, initiation",,,,,"GO:0006351 transcription, DNA-templated"
1,0,0,0,0,0,-4.012564644945965,0.0,0.0,0.0,0.0,0.0,GO:0110148,biomineralization,M100000,1,GO:0030500 regulation of bone mineralization,,,,,
1,0,0,1,1,1,-3.9972719547211133,0.0,0.0,-2.848005809026934,-2.0772902304844916,-4.728604993212125,GO:0022414,reproductive process,M100111,4,GO:2000243 positive regulation of reproductive process,,,GO:0051321 meiotic cell cycle,GO:0048608 reproductive structure development,GO:0046661 male sex differentiation
1,0,0,1,0,0,-3.8095887222983813,0.0,0.0,-5.501218441963546,0.0,0.0,GO:0048519,negative regulation of biological process,M100100,2,GO:0008285 negative regulation of cell population proliferation,,,GO:0045841 negative regulation of mitotic metaphase/anaphase transition,,
1,1,0,1,1,1,-3.8026797704057502,-4.561543313087224,0.0,-9.236951281135001,-5.177008770640413,-4.896137171020688,GO:0009987,cellular process,M110111,5,GO:0008283 cell population proliferation,GO:0030198 extracellular matrix organization,,GO:1903047 mitotic cell cycle process,GO:0030198 extracellular matrix organization,GO:0098609 cell-cell adhesion
1,0,0,1,1,1,-3.4844695482030854,0.0,0.0,-5.374872913248135,-2.435074907827997,-2.7145688518926576,GO:0050789,regulation of biological process,M100111,4,GO:1901214 regulation of neuron death,,,GO:0007088 regulation of mitotic nuclear division,GO:1901214 regulation of neuron death,GO:0033044 regulation of chromosome organization
1,1,0,0,1,1,-3.2030170936973987,-2.7391983566815643,0.0,0.0,-3.859935642946497,-2.2271496469283765,GO:0040007,growth,M110011,4,GO:0040007 growth,GO:0040007 growth,,,GO:0046620 regulation of organ growth,GO:0040007 growth
1,1,0,0,1,1,-2.765019351364376,-3.2445120963311798,0.0,0.0,-2.5598131784664937,-2.5598131784664937,GO:0051179,localization,M110011,4,GO:0046903 secretion,GO:0051272 positive regulation of cellular component movement,,,GO:0051272 positive regulation of cellular component movement,GO:0051272 positive regulation of cellular component movement
1,1,0,0,1,1,-2.7393722266022995,-2.2110907026377897,0.0,0.0,-3.4331584922246394,-3.626397979013739,GO:0065007,biological regulation,M110011,4,GO:0010817 regulation of hormone levels,GO:0051347 positive regulation of transferase activity,,,GO:0035296 regulation of tube diameter,GO:0051347 positive regulation of transferase activity
0,1,0,0,1,1,0.0,-3.349097594868279,0.0,0.0,-2.6601947510913484,-2.6601947510913484,GO:0040011,locomotion,M010011,3,,GO:0030335 positive regulation of cell migration,,,GO:0030335 positive regulation of cell migration,GO:0030335 positive regulation of cell migration
