_MEMBER_CNet-SVM,_MEMBER_Enet-SVM,_MEMBER_L2SCAD-SVM,_MEMBER_Lasso-SVM,_MEMBER_SCAD-SVM,_MEMBER_SGLasso-SVM,_MEMBER_SVM-RFE,_MEMBER_mRMR-SVM,_LogP_CNet-SVM,_LogP_Enet-SVM,_LogP_L2SCAD-SVM,_LogP_Lasso-SVM,_LogP_SCAD-SVM,_LogP_SGLasso-SVM,_LogP_SVM-RFE,_LogP_mRMR-SVM,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
0,0,0,0,0,1,0,0,0,0,0,0,0,-12,0,0,M39096,M00000100,1,0,Cell Type Signatures,7,ZHONG PFC C1 OPC,,-12,41,19,30198,238,28,9,32,8.8,699|1063|4751|9833|22974|24137|55165|83540|128239,BUB1|CENPF|NEK2|MELK|TPX2|KIF4A|CEP55|NUF2|IQGAP3,-7.7,0
0,0,0,0,0,1,0,0,0,0,0,0,0,-12,0,0,M39041,M00000100,1,0,Cell Type Signatures,7,FAN EMBRYONIC CTX MICROGLIA 1,,-12,56,21,30198,155,28,8,29,8.5,699|1063|9833|22974|24137|55165|83540|128239,BUB1|CENPF|MELK|TPX2|KIF4A|CEP55|NUF2|IQGAP3,-7.7,0
0,0,0,0,0,1,0,0,0,0,0,0,0,-11,0,0,M39165,M00000100,1,0,Cell Type Signatures,7,GAO LARGE INTESTINE ADULT CH MKI67HIGH CELLS,,-11,71,22,30198,107,28,7,25,8.2,699|1063|22974|24137|55165|83540|128239,BUB1|CENPF|TPX2|KIF4A|CEP55|NUF2|IQGAP3,-7.2,0
0,0,0,0,0,1,0,0,0,0,0,0,0,-11,0,0,M39036,M00000100,1,0,Cell Type Signatures,7,FAN EMBRYONIC CTX NSC 2,,-11,37,17,30198,233,28,8,29,8.5,699|1063|4751|9833|22974|24137|55165|83540,BUB1|CENPF|NEK2|MELK|TPX2|KIF4A|CEP55|NUF2,-6.6,0
0,0,0,0,0,1,0,0,0,0,0,0,0,-8.1,0,0,M39059,M00000100,1,0,Cell Type Signatures,7,MANNO MIDBRAIN NEUROTYPES HPROGBP,,-8.1,25,13,30198,300,28,7,25,8.2,699|1063|4751|9833|22974|24137|83540,BUB1|CENPF|NEK2|MELK|TPX2|KIF4A|NUF2,-4.3,0
0,0,0,0,0,1,0,0,0,0,0,0,0,-7.8,0,0,M39060,M00000100,1,0,Cell Type Signatures,7,MANNO MIDBRAIN NEUROTYPES HPROGFPL,,-7.8,23,12,30198,323,28,7,25,8.2,699|1063|4751|9833|22974|24137|83540,BUB1|CENPF|NEK2|MELK|TPX2|KIF4A|NUF2,-4.2,0
0,0,0,0,0,1,0,0,0,0,0,0,0,-7.5,0,0,M39061,M00000100,1,0,Cell Type Signatures,7,MANNO MIDBRAIN NEUROTYPES HPROGFPM,,-7.5,21,12,30198,356,28,7,25,8.2,699|1063|4751|9833|22974|24137|83540,BUB1|CENPF|NEK2|MELK|TPX2|KIF4A|NUF2,-4.1,0
0,0,0,0,0,1,0,0,0,0,0,0,0,-7.4,0,0,M39083,M00000100,1,0,Cell Type Signatures,7,ZHONG PFC C3 UNKNOWN INP,,-7.4,1.1e+02,21,30198,38,28,4,14,6.6,699|1063|22974|83540,BUB1|CENPF|TPX2|NUF2,-4,0
0,0,0,0,0,1,0,0,0,0,0,0,0,-6.9,0,0,M39103,M00000100,1,0,Cell Type Signatures,7,ZHONG PFC C1 MICROGLIA,,-6.9,25,12,30198,257,28,6,21,7.8,699|1063|22974|24137|83540|128239,BUB1|CENPF|TPX2|KIF4A|NUF2|IQGAP3,-3.6,0
0,0,0,0,0,1,0,0,0,0,0,0,0,-6.7,0,0,M39078,M00000100,1,0,Cell Type Signatures,7,ZHONG PFC MAJOR TYPES NPCS,,-6.7,38,13,30198,142,28,5,18,7.2,699|1063|9833|22974|83540,BUB1|CENPF|MELK|TPX2|NUF2,-3.5,0
0,0,0,0,0,1,0,0,0,0,0,0,0,-6.5,0,0,M39081,M00000100,1,0,Cell Type Signatures,7,ZHONG PFC C8 ORG PROLIFERATING,,-6.5,70,16,30198,62,28,4,14,6.6,699|1063|4751|22974,BUB1|CENPF|NEK2|TPX2,-3.4,0
0,0,0,0,0,1,0,0,0,0,0,0,0,-6.1,0,0,M39087,M00000100,1,0,Cell Type Signatures,7,ZHONG PFC C2 UNKNOWN NPC,,-6.1,57,15,30198,76,28,4,14,6.6,1063|4751|22974|24137,CENPF|NEK2|TPX2|KIF4A,-3.1,0
