_MEMBER_CNet-SVM,_MEMBER_Enet-SVM,_MEMBER_L2SCAD-SVM,_MEMBER_Lasso-SVM,_MEMBER_SCAD-SVM,_MEMBER_SGLasso-SVM,_MEMBER_SVM-RFE,_MEMBER_mRMR-SVM,_LogP_CNet-SVM,_LogP_Enet-SVM,_LogP_L2SCAD-SVM,_LogP_Lasso-SVM,_LogP_SCAD-SVM,_LogP_SGLasso-SVM,_LogP_SVM-RFE,_LogP_mRMR-SVM,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,0,0,0,0,0,0,0,-6.2,0,0,0,0,0,0,0,M14649,M10000000,1,0,Transcription Factor Targets,16,FREAC4 01,,-6.2,31,12,30198,153,32,5,16,6.4,3624|6927|9951|10664|25769,INHBA|HNF1A|HS3ST4|CTCF|SLC24A2,-3.2,0
0,0,0,0,0,1,0,0,0,0,0,0,0,-5.7,0,0,M30019,M00000100,1,0,Transcription Factor Targets,16,HSD17B8 TARGET GENES,,-5.7,11,8.3,30198,659,28,7,25,8.2,699|1063|4751|9833|55165|83540|128239,BUB1|CENPF|NEK2|MELK|CEP55|NUF2|IQGAP3,-2.9,0
1,0,0,0,0,0,0,0,-5.2,0,0,0,0,0,0,0,M14012,M10000000,1,0,Transcription Factor Targets,16,GATA1 04,,-5.2,19,9.3,30198,247,32,5,16,6.4,1264|1959|3725|9951|10664,CNN1|EGR2|JUN|HS3ST4|CTCF,-2.5,0
0,0,1,0,0,0,0,0,0,0,-4.5,0,0,0,0,0,M14357,M00100000,1,0,Transcription Factor Targets,16,TATA C,,-4.5,21,8.8,30198,285,20,4,20,8.9,4319|6354|6722|60495,MMP10|CCL7|SRF|HPSE2,-2,0
1,0,0,1,0,1,0,0,-2.6,0,0,-4.3,0,-2.8,0,0,M9949,M10010100,3,0,Transcription Factor Targets,16,NFKAPPAB 01,,-4.3,39,11,30198,255,9,3,33,16,2246|2920|85480,FGF1|CXCL2|TSLP,-1.9,0
1,0,0,1,0,1,0,0,-2.6,0,0,-4.3,0,-2.8,0,0,M11921,M10010100,3,0,Transcription Factor Targets,16,NFKB Q6,,-4.3,39,11,30198,258,9,3,33,16,2246|2920|85480,FGF1|CXCL2|TSLP,-1.9,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-4.1,M30404,M00000001,1,0,Transcription Factor Targets,16,ZSCAN23 TARGET GENES,,-4.1,35,9.9,30198,87,30,3,10,5.5,1499|4040|4616,CTNNB1|LRP6|GADD45B,-1.7,0
1,0,0,0,0,0,0,0,-4,0,0,0,0,0,0,0,M11934,M10000000,1,0,Transcription Factor Targets,16,SRF Q5 01,,-4,17,7.7,30198,225,32,4,12,5.8,1264|1959|2253|28514,CNN1|EGR2|FGF8|DLL1,-1.7,0
1,0,0,0,0,0,0,0,-4,0,0,0,0,0,0,0,M5479,M10000000,1,0,Transcription Factor Targets,16,SRF Q4,,-4,16,7.6,30198,230,32,4,12,5.8,1264|1959|2253|28514,CNN1|EGR2|FGF8|DLL1,-1.7,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-4,M560,M00000001,1,0,Transcription Factor Targets,16,CP2 02,,-4,16,7.5,30198,253,30,4,13,6.2,571|1385|4320|5595,BACH1|CREB1|MMP11|MAPK3,-1.7,0
