GO,Description,_LogP_CNet-SVM,_LogP_Enet-SVM,_LogP_L2SCAD-SVM,_LogP_Lasso-SVM,_LogP_SCAD-SVM,_LogP_SGLasso-SVM,_LogP_SVM-RFE,_LogP_mRMR-SVM
M39041,FAN EMBRYONIC CTX MICROGLIA 1,0.0,0.0,0.0,0.0,0.0,-11.941689892180571,0.0,0.0
M39036,FAN EMBRYONIC CTX NSC 2,0.0,0.0,0.0,0.0,0.0,-10.518541831240226,0.0,0.0
M39165,GAO LARGE INTESTINE ADULT CH MKI67HIGH CELLS,0.0,0.0,0.0,0.0,0.0,-11.193973957401138,0.0,0.0
M39096,ZHONG PFC C1 OPC,0.0,0.0,0.0,0.0,0.0,-12.213804340354777,0.0,0.0
M39087,ZHONG PFC C2 UNKNOWN NPC,0.0,0.0,0.0,0.0,0.0,-6.140063786606793,0.0,0.0
M39083,ZHONG PFC C3 UNKNOWN INP,0.0,0.0,0.0,0.0,0.0,-7.3696393281559995,0.0,0.0
M39081,ZHONG PFC C8 ORG PROLIFERATING,0.0,0.0,0.0,0.0,0.0,-6.497900705271274,0.0,0.0
M39059,MANNO MIDBRAIN NEUROTYPES HPROGBP,0.0,0.0,0.0,0.0,0.0,-8.054645534210392,0.0,0.0
M39078,ZHONG PFC MAJOR TYPES NPCS,0.0,0.0,0.0,0.0,0.0,-6.71456030826684,0.0,0.0
M39103,ZHONG PFC C1 MICROGLIA,0.0,0.0,0.0,0.0,0.0,-6.937782951993236,0.0,0.0
M39060,MANNO MIDBRAIN NEUROTYPES HPROGFPL,0.0,0.0,0.0,0.0,0.0,-7.83399887826423,0.0,0.0
M39061,MANNO MIDBRAIN NEUROTYPES HPROGFPM,0.0,0.0,0.0,0.0,0.0,-7.544397396498804,0.0,0.0
M39062,MANNO MIDBRAIN NEUROTYPES HNPROG,0.0,0.0,0.0,0.0,0.0,-5.6890382618477355,0.0,0.0
M39058,MANNO MIDBRAIN NEUROTYPES HPROGM,0.0,0.0,0.0,0.0,0.0,-5.069215625897621,0.0,0.0
M39153,GAO LARGE INTESTINE 24W C2 MKI67POS PROGENITOR,0.0,0.0,0.0,0.0,0.0,-5.449703112827426,0.0,0.0
M41687,TRAVAGLINI LUNG PROLIFERATING NK T CELL,0.0,0.0,0.0,0.0,0.0,-5.22116168740854,0.0,0.0
M39263,HU FETAL RETINA BLOOD,0.0,0.0,0.0,0.0,0.0,-3.8936882180024903,0.0,0.0
M39209,HAY BONE MARROW STROMAL,-3.8735852925396435,0.0,0.0,-2.9159655044026977,0.0,-3.2049981533777934,-2.178260450374701,0.0
M39302,CUI DEVELOPING HEART C5 VALVAR CELL,-2.860515285264131,0.0,0.0,0.0,-4.169495859596621,-3.0318603849668277,-4.283384983662413,0.0
M39050,MANNO MIDBRAIN NEUROTYPES HPERIC,-2.0202143392793928,-3.2308083517287143,0.0,0.0,-2.475249881333248,-3.1295845586828253,-3.9468933064983065,-2.9870727514480153
