GO,Description,_LogP_CNet-SVM,_LogP_L2SCAD-SVM,_LogP_SCAD-SVM,_LogP_SGLasso-SVM,_LogP_SVM-RFE,_LogP_mRMR-SVM
GO:0050896,response to stimulus,-7.415379758465287,-2.460280660753204,-4.717110145596589,0.0,-5.137898245864073,-7.866295928777082
GO:0032501,multicellular organismal process,-5.0923133884052625,-3.1287955211912024,-2.882987353960326,0.0,-5.09328240058459,-3.8274193650269237
GO:0032502,developmental process,-7.772969967912856,-4.05485654266832,-4.399964596824871,-2.631895932200976,-4.353150317767867,-6.326274301969541
GO:0065007,biological regulation,-2.7393722266022995,-2.2110907026377897,0.0,0.0,-3.4331584922246394,-3.626397979013739
GO:0040007,growth,-3.2030170936973987,-2.7391983566815643,0.0,0.0,-3.859935642946497,-2.2271496469283765
GO:0051179,localization,-2.765019351364376,-3.2445120963311798,0.0,0.0,-2.5598131784664937,-2.5598131784664937
GO:0040011,locomotion,0.0,-3.349097594868279,0.0,0.0,-2.6601947510913484,-2.6601947510913484
GO:0023052,signaling,-5.05107085435269,-3.395704647504952,0.0,-5.590640280620327,-3.1243035397968564,-8.310923645601525
GO:0009987,cellular process,-3.8026797704057502,-4.561543313087224,0.0,-9.236951281135001,-5.177008770640413,-4.896137171020688
GO:0048519,negative regulation of biological process,-3.8095887222983813,0.0,0.0,-5.501218441963546,0.0,0.0
GO:0110148,biomineralization,-4.012564644945965,0.0,0.0,0.0,0.0,0.0
GO:0008152,metabolic process,-4.142129981438692,0.0,0.0,0.0,0.0,-8.371602039756386
GO:0002376,immune system process,-4.431540782360718,0.0,0.0,0.0,0.0,-2.6804760658375093
GO:0048518,positive regulation of biological process,-4.345365378191969,0.0,0.0,-2.336417459159652,0.0,-4.114634164451214
GO:0022414,reproductive process,-3.9972719547211133,0.0,0.0,-2.848005809026934,-2.0772902304844916,-4.728604993212125
GO:0050789,regulation of biological process,-3.4844695482030854,0.0,0.0,-5.374872913248135,-2.435074907827997,-2.7145688518926576
