row,col
2,1
40,1
53,1
61,1
62,2
126,2
140,2
141,2
101,3
124,3
141,3
76,4
101,4
28,5
80,5
36,6
49,6
57,6
58,7
122,7
136,7
137,7
97,8
120,8
137,8
72,9
97,9
24,10
76,10
32,11
45,11
53,11
54,12
118,12
132,12
133,12
93,13
116,13
133,13
68,14
93,14
20,15
72,15
28,16
41,16
49,16
76,16
50,17
114,17
128,17
129,17
89,18
112,18
129,18
64,19
79,19
89,19
68,20
24,21
37,21
45,21
72,21
46,22
110,22
124,22
125,22
85,23
108,23
125,23
60,24
75,24
85,24
64,25
33,26
41,26
68,26
42,27
106,27
120,27
121,27
81,28
104,28
121,28
56,29
71,29
81,29
60,30
78,30
37,31
64,31
38,32
102,32
116,32
117,32
77,33
100,33
117,33
52,34
67,34
77,34
56,35
74,35
60,36
98,37
112,37
113,37
73,38
96,38
113,38
48,39
63,39
73,39
52,40
70,40
56,41
94,42
108,42
109,42
69,43
92,43
109,43
59,44
69,44
48,45
66,45
52,46
150,46
90,47
104,47
105,47
65,48
88,48
105,48
55,49
65,49
62,50
79,50
146,51
86,52
100,52
101,52
61,53
77,53
84,53
101,53
61,54
58,55
75,55
142,56
82,57
96,57
97,57
73,58
80,58
97,58
71,60
138,61
78,62
92,62
93,62
69,63
76,63
79,63
93,63
67,65
134,66
74,67
79,67
88,67
89,67
72,68
75,68
89,68
77,70
130,71
75,72
84,72
85,72
79,73
85,73
126,76
80,77
81,77
81,78
122,81
118,86
114,91
110,96
106,101
150,110
146,115
142,120
138,125
134,130
150,136
146,141
