V1,V2
40,52
40,70
40,1
53,61
53,77
53,1
53,11
61,54
61,1
76,63
76,126
76,4
76,10
76,16
28,81
28,104
28,121
28,5
28,16
80,58
80,77
80,5
49,65
49,55
49,6
49,16
58,73
58,55
58,7
122,81
122,7
136,150
136,7
24,85
24,60
24,75
24,10
24,21
32,38
32,102
32,116
32,117
32,11
45,48
45,11
45,21
54,12
132,12
20,68
20,15
41,56
41,16
41,26
50,79
50,17
114,17
114,91
89,68
89,67
89,18
89,19
112,37
112,18
64,19
64,25
64,31
79,67
79,73
79,63
79,19
68,75
68,26
37,113
37,21
37,31
46,52
46,150
46,22
110,96
110,150
110,22
125,22
125,23
85,73
85,23
108,23
60,71
75,55
33,117
33,77
33,26
81,77
81,29
104,47
56,142
56,29
71,130
71,29
38,113
38,73
38,96
77,70
77,34
52,34
67,65
67,74
67,34
73,39
48,105
48,65
48,39
63,69
63,39
69,43
69,44
92,43
59,44
90,47
105,47
